idInvoice,idEvent,aditionalData,amount,amountPaidAferMatchMatch,amountPaidBeforeMatch,amountToPaidAfterMatch,amountToPaidBeforeMatch,amountToPay,eventDate,eventType,hasMatchAfterMatch,hasMatchBeforeMatch,idTransaction,matchMethod,needReviewAfterMatch,needReviewBeforeMatch,paymentethod,result,stateAfterMatch,stateBeforeMatch
06E3E7D585DB46A28B88A730623CAE49,9914085a-c6e9-4e5f-868f-af062195bd8d,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,b72ab146-9de4-4ce8-a7fe-2089e46057e3,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,c3b03cef-20c8-450e-82f0-f969d3d5b103,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69406E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,c9f219cc-def5-4628-b27e-e83a8d2f7504,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69419E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,dbea26c7-20f8-41d4-87b8-a2e4ea7dfea7,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,e8ece0f1-a232-4aa9-a43d-4a3e13836243,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69447E+12,LINK#GRAPH#PAYMENT,true,true,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
B472DEED2CCF5300B360A87DD237303B,53a9374a-e6c8-4bdb-b9e6-14c3311be47f,{},3306,3306,0,0,3306,3306,1.69447E+12,LINK#GRAPH#PAYMENT,true,false,1c3c6879c9c3e75d64db47c291245f62,GRAPH,false,false,PPD,SUCCESS,PAGADA,PENDIENTE
B472DEED2CCF5300B360A87DD237303B,c76632b5-9874-40b1-9c2a-3bd0790e4a74,{},3306,3306,3306,0,0,3306,1.69462E+12,LINK#GRAPH#PAYMENT,true,true,1c3c6879c9c3e75d64db47c291245f62,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
378D85E70CF64C549E2AA43C7372784E,1d2e8333-7e9b-487a-9f34-f2d718c39806,{},8726.99,8726.99,8726.99,0,0,8726.99,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,8c484d1649f27ddead7276e23aecb78f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
378D85E70CF64C549E2AA43C7372784E,2d33ffa4-1908-4d9a-ae6d-926fa56785a0,{},8726.99,8726.99,0,0,8726.99,8726.99,1.69334E+12,LINK#GRAPH#PAYMENT,true,false,8c484d1649f27ddead7276e23aecb78f,GRAPH,false,false,PUE,SUCCESS,PAGADA,PENDIENTE
378D85E70CF64C549E2AA43C7372784E,7a5e4fcb-3242-4d84-9dda-366ab9b7a619,{},8726.99,8726.99,8726.99,0,0,8726.99,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,8c484d1649f27ddead7276e23aecb78f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
378D85E70CF64C549E2AA43C7372784E,c3991374-4e0d-452e-98eb-2b3c39c66397,{},8726.99,8726.99,8726.99,0,0,8726.99,1.69406E+12,LINK#GRAPH#PAYMENT,true,true,8c484d1649f27ddead7276e23aecb78f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
378D85E70CF64C549E2AA43C7372784E,fd9d8c20-df1c-4d07-b98c-dd9e87693686,{},8726.99,8726.99,8726.99,0,0,8726.99,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,8c484d1649f27ddead7276e23aecb78f,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,0e014ff1-7188-46ec-9ce5-c095c89925e2,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69406E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,37e81868-1cd9-485e-b712-1efeb8c86517,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69328E+12,CONFIRM#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,MANUAL,false,false,PPD,SUCCESS,PAGADA,PAGADA
