idInvoice,idEvent,aditionalData,amount,amountPaidAferMatchMatch,amountPaidBeforeMatch,amountToPaidAfterMatch,amountToPaidBeforeMatch,amountToPay,eventDate,eventType,hasMatchAfterMatch,hasMatchBeforeMatch,idBusinessGroup,idTransaction,matchMethod,needReviewAfterMatch,needReviewBeforeMatch,paymentethod,resource,result,stateAfterMatch,stateBeforeMatch
00BFF93F595148CF8B4BD7647C968E36,6b2540a7-286e-40f2-8665-2c6db93e7603,{},174,174,174,0,0,174,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,d3f95848-4c41-4059-9e40-e380a00334ee,{},174,174,174,0,0,174,1.69406E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,da053441-2c8f-46a1-b454-da8cc1bd19a8,{},174,174,174,0,0,174,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,f0a44995-95b9-48e7-b734-b5948b9f2c63,{},174,174,174,0,0,174,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,fd3bd087-0298-4d60-9a09-d699567ee095,{},174,174,174,0,0,174,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
00BFF93F595148CF8B4BD7647C968E36,fd5740ca-5351-4686-aa6f-1f038b796e9f,{},174,174,174,0,0,174,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,de2c3cada1700174df7108cf692f759f,GRAPH,false,false,PUE,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,1f21c124-e51c-42f0-baac-34e5a165480c,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69419E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,2c71d2a3-57f7-4b73-9853-e3596285539e,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,31f948de-c94b-495e-9566-0cbe6780cac6,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,42cbc86c-dae1-4a89-8930-f4c95e7cf18d,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69716E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,5d1a1920-7be0-41c5-a8a8-eb02497572ca,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,5f8b5a50-e8fb-471f-8347-88295743143e,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69532E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,64c669d1-81a4-4de5-9940-3c7ef3916753,{},375991.82,375991.82,0,0,375991.82,375991.82,1.69328E+12,LINK#GRAPH#PAYMENT,true,false,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,SUCCESS,PAGADA,PENDIENTE
06E3E7D585DB46A28B88A730623CAE49,6641ade0-4aa0-4304-b519-110728406348,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69462E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,8479e38e-3876-44fc-ba6f-164c5a5ab6ee,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,8942f7a8-0d7b-413f-ab77-192bd3162357,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69637E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,9914085a-c6e9-4e5f-868f-af062195bd8d,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,ab3ffe45-852d-49de-9ce9-fc9a9aae1690,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69604E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,b72ab146-9de4-4ce8-a7fe-2089e46057e3,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
06E3E7D585DB46A28B88A730623CAE49,c3b03cef-20c8-450e-82f0-f969d3d5b103,{},375991.82,375991.82,375991.82,0,0,375991.82,1.69406E+12,LINK#GRAPH#PAYMENT,true,true,81d42319-92be-4848-8512-e1a2900d1490-1662407423000,f05b3cef0101c19eab0e76f0527ba497,GRAPH,false,false,PPD,LAMBDA#SCM-SAT-CRUD-INVOICES,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
